child,parent_set,selected_order,conditional_model_type,selected_number_bins,simplified_validation_score,selected_validation_score,score_improvement_over_simplified,conditional_family,conditional_rotation,conditional_bin_counts
mean_radius,"['mean_smoothness', 'mean_texture']","['mean_texture', 'mean_smoothness', 'mean_radius']",quantile_binned,4,0.0404963556553543,0.0495520263772664,0.0090556707219121,frank,0,"[142, 142, 141, 144]"
mean_radius,"['mean_compactness', 'mean_texture']","['mean_texture', 'mean_compactness', 'mean_radius']",quantile_binned,6,0.0180521426029119,0.035418071136306,0.017365928533394,gaussian,0,"[95, 95, 94, 95, 95, 95]"
mean_radius,"['mean_concavity', 'mean_texture']","['mean_concavity', 'mean_texture', 'mean_radius']",quantile_binned,2,0.1782062079325577,0.1854105460407979,0.0072043381082402,gumbel,0,"[284, 285]"
mean_radius,"['mean_concave_points', 'mean_texture']","['mean_texture', 'mean_concave_points', 'mean_radius']",simplified,1,0.0087056171626056,0.0087056171626056,0.0037870927602551,gaussian,0,[569]
mean_radius,"['mean_symmetry', 'mean_texture']","['mean_texture', 'mean_symmetry', 'mean_radius']",simplified,1,0.043995372118002,0.043995372118002,0.0,frank,0,[569]
mean_radius,"['mean_fractal_dimension', 'mean_texture']","['mean_texture', 'mean_fractal_dimension', 'mean_radius']",simplified,1,0.0559251185734288,0.0559251185734288,0.0,frank,0,[569]
mean_radius,"['mean_texture', 'radius_error']","['mean_texture', 'radius_error', 'mean_radius']",quantile_binned,5,0.0288925705734249,0.0389466767442436,0.0100541061708186,frank,0,"[114, 114, 113, 114, 114]"
mean_radius,"['mean_texture', 'texture_error']","['mean_texture', 'texture_error', 'mean_radius']",simplified,1,0.1079160379229045,0.1079160379229045,0.0021673394811427,frank,0,[569]
mean_radius,"['mean_texture', 'worst_radius']","['mean_texture', 'worst_radius', 'mean_radius']",simplified,1,0.0,0.0,0.0,indep,0,[569]
mean_radius,"['mean_texture', 'worst_texture']","['worst_texture', 'mean_texture', 'mean_radius']",simplified,1,0.0,0.0,0.0,indep,0,[569]
