child,parent_set,selected_order,conditional_model_type,selected_number_bins,simplified_validation_score,selected_validation_score,score_improvement_over_simplified,conditional_family,conditional_rotation,conditional_bin_counts
age,"['bmi', 'sex']","['sex', 'bmi', 'age']",simplified,1,-0.0135689313890335,-0.0135689313890335,0.0009589044170997,gumbel,180,[442]
age,"['bp', 'sex']","['sex', 'bp', 'age']",simplified,1,-0.0314564088113017,-0.0314564088113017,0.0,clayton,180,[442]
age,"['s1', 'sex']","['sex', 's1', 'age']",quantile_binned,3,-0.0200266700794956,-0.0055865906781085,0.014440079401387,gumbel,0,"[146, 148, 148]"
age,"['s2', 'sex']","['sex', 's2', 'age']",quantile_binned,3,-0.0128155368363933,-0.0060009203430247,0.0068146164933686,gumbel,0,"[147, 147, 148]"
age,"['s3', 'sex']","['s3', 'sex', 'age']",simplified,1,0.0,0.0,0.0,indep,0,[442]
age,"['s4', 'sex']","['s4', 'sex', 'age']",simplified,1,0.0116917021352577,0.0116917021352577,0.0,clayton,0,[442]
age,"['s5', 'sex']","['sex', 's5', 'age']",quantile_binned,4,-0.0252481775981756,-0.0087940233233866,0.0164541542747889,gumbel,0,"[109, 112, 109, 112]"
age,"['s6', 'sex']","['s6', 'sex', 'age']",simplified,1,0.0508592892126037,0.0508592892126037,0.0,gaussian,0,[442]
age,"['bmi', 'bp']","['bmi', 'bp', 'age']",simplified,1,0.0115649264312071,0.0115649264312071,0.0031450261956904,clayton,0,[442]
age,"['bmi', 's1']","['bmi', 's1', 'age']",quantile_binned,3,0.0323944698189423,0.0481807514391593,0.0157862816202169,clayton,0,"[146, 148, 148]"
age,"['bmi', 's2']","['bmi', 's2', 'age']",quantile_binned,3,0.0397237959653621,0.0473551894691216,0.0076313935037594,clayton,0,"[147, 147, 148]"
age,"['bmi', 's3']","['bmi', 's3', 'age']",simplified,1,0.0618872686025853,0.0618872686025853,0.0,clayton,0,[442]
age,"['bmi', 's4']","['s4', 'bmi', 'age']",simplified,1,-0.0032348108426731,-0.0032348108426731,0.0,frank,0,[442]
age,"['bmi', 's5']","['bmi', 's5', 'age']",simplified,1,0.0266030138604619,0.0266030138604619,0.0,clayton,0,[442]
age,"['bmi', 's6']","['s6', 'bmi', 'age']",simplified,1,0.032708748519834,0.032708748519834,0.0026368424621644,gaussian,0,[442]
age,"['bp', 's1']","['bp', 's1', 'age']",quantile_binned,2,0.1122557763473309,0.1216188449702563,0.0093630686229254,frank,0,"[215, 227]"
age,"['bp', 's2']","['bp', 's2', 'age']",quantile_binned,3,0.1215545450110184,0.1293267248569007,0.0077721798458822,frank,0,"[147, 147, 148]"
age,"['bp', 's3']","['s3', 'bp', 'age']",simplified,1,0.0,0.0,0.0,indep,0,[442]
age,"['bp', 's4']","['s4', 'bp', 'age']",simplified,1,-0.0090465659554948,-0.0090465659554948,0.0016745476838313,gumbel,180,[442]
age,"['bp', 's5']","['s5', 'bp', 'age']",quantile_binned,3,0.0100389725361303,0.0275030451302893,0.017464072594159,gaussian,0,"[133, 159, 150]"
age,"['bp', 's6']","['s6', 'bp', 'age']",simplified,1,0.0086091670877574,0.0086091670877574,0.0015588795372348,gaussian,0,[442]
age,"['s1', 's2']","['s2', 's1', 'age']",simplified,1,0.0,0.0,0.0,indep,0,[442]
age,"['s1', 's3']","['s1', 's3', 'age']",quantile_binned,3,0.0458492730076627,0.0719545248594941,0.0261052518518313,gumbel,180,"[142, 148, 152]"
age,"['s1', 's4']","['s4', 's1', 'age']",simplified,1,0.0,0.0,0.0,indep,0,[442]
age,"['s1', 's5']","['s1', 's5', 'age']",simplified,1,0.0068079682869675,0.0068079682869675,0.0033981814802052,gumbel,180,[442]
age,"['s1', 's6']","['s6', 's1', 'age']",simplified,1,0.0360586479373615,0.0360586479373615,0.0,gaussian,0,[442]
age,"['s2', 's3']","['s3', 's2', 'age']",simplified,1,0.0,0.0,0.0,indep,0,[442]
age,"['s2', 's4']","['s4', 's2', 'age']",simplified,1,0.0,0.0,0.0,indep,0,[442]
age,"['s2', 's5']","['s5', 's2', 'age']",simplified,1,0.0486371597064291,0.0486371597064291,0.0,gaussian,0,[442]
age,"['s2', 's6']","['s6', 's2', 'age']",simplified,1,0.0454221684354655,0.0454221684354655,0.0,gaussian,0,[442]
age,"['s3', 's4']","['s3', 's4', 'age']",quantile_binned,2,0.0021205775910334,0.0186576377414355,0.016537060150402,clayton,180,"[178, 264]"
age,"['s3', 's5']","['s3', 's5', 'age']",simplified,1,0.0,0.0,0.0,indep,0,[442]
age,"['s3', 's6']","['s3', 's6', 'age']",simplified,1,0.0,0.0,0.0,indep,0,[442]
age,"['s4', 's5']","['s4', 's5', 'age']",simplified,1,0.0,0.0,0.0,indep,0,[442]
age,"['s4', 's6']","['s6', 's4', 'age']",simplified,1,0.0367582107486797,0.0367582107486797,8.024854439982188e-05,gaussian,0,[442]
age,"['s5', 's6']","['s6', 's5', 'age']",quantile_binned,4,0.0085047723267414,0.0156319577048059,0.0071271853780645,clayton,0,"[109, 112, 109, 112]"
sex,"['age', 'bmi']","['age', 'bmi', 'sex']",simplified,1,-0.0135689313890335,-0.0135689313890335,0.0009589044170997,gumbel,180,[442]
sex,"['age', 'bp']","['age', 'bp', 'sex']",simplified,1,-0.0314564088112997,-0.0314564088112997,0.0,clayton,180,[442]
sex,"['age', 's1']","['s1', 'age', 'sex']",simplified,1,0.0,0.0,0.0,indep,0,[442]
sex,"['age', 's2']","['age', 's2', 'sex']",quantile_binned,3,-0.0128155368363653,-0.0060009203430707,0.0068146164932946,gumbel,0,"[147, 147, 148]"
sex,"['age', 's3']","['age', 's3', 'sex']",quantile_binned,4,-0.0214541321126468,0.0023525595235086,0.0238066916361554,gumbel,0,"[111, 103, 117, 111]"
sex,"['age', 's4']","['age', 's4', 'sex']",simplified,1,-0.0123903988416177,-0.0123903988416177,0.0,gumbel,0,[442]
sex,"['age', 's5']","['age', 's5', 'sex']",quantile_binned,4,-0.0252481775981891,-0.0087940233233963,0.0164541542747928,gumbel,0,"[109, 112, 109, 112]"
sex,"['age', 's6']","['age', 's6', 'sex']",quantile_binned,4,-0.0133647716066181,0.0028574402794005,0.0162222118860186,gumbel,0,"[111, 94, 119, 118]"
sex,"['bmi', 'bp']","['bp', 'bmi', 'sex']",simplified,1,-0.0004521417657017,-0.0004521417657017,0.0,frank,0,[442]
sex,"['bmi', 's1']","['bmi', 's1', 'sex']",quantile_binned,4,-0.0019562482205673,0.0058612786513292,0.0078175268718966,clayton,0,"[111, 104, 116, 111]"
sex,"['bmi', 's2']","['bmi', 's2', 'sex']",simplified,1,0.0,0.0,0.0,indep,0,[442]
sex,"['bmi', 's3']","['bmi', 's3', 'sex']",simplified,1,0.0,0.0,0.0,indep,0,[442]
sex,"['bmi', 's4']","['bmi', 's4', 'sex']",simplified,1,0.0,0.0,0.0,indep,0,[442]
sex,"['bmi', 's5']","['bmi', 's5', 'sex']",simplified,1,0.0,0.0,0.0,indep,0,[442]
sex,"['bmi', 's6']","['s6', 'bmi', 'sex']",simplified,1,0.0043349369654294,0.0043349369654294,0.0044926324779696,frank,0,[442]
sex,"['bp', 's1']","['s1', 'bp', 'sex']",simplified,1,0.0,0.0,0.0,indep,0,[442]
