child,parent_set,selected_order,selected_number_bins,bin_index,bin_lower,bin_upper,bin_center,bin_count,empirical_conditional_tau,fitted_conditional_tau,global_empirical_conditional_tau
age,"['bmi', 'sex']","['sex', 'bmi', 'age']",1,0,0.0,1.0,0.5,442,0.10383629678283351,0.11571236111470962,0.10383629678283351
age,"['bp', 'sex']","['sex', 'bp', 'age']",1,0,0.0,1.0,0.5,442,0.06193018656295475,0.07760667944715145,0.06193018656295475
age,"['s1', 'sex']","['sex', 's1', 'age']",3,0,0.0,0.3329571106094808,0.1664785553047404,146,0.21792408597262672,0.18115524963991866,0.14049330168114502
age,"['s1', 'sex']","['sex', 's1', 'age']",3,1,0.3329571106094808,0.6693002257336343,0.5011286681715575,148,0.21146651861067467,0.26353146123609894,0.14049330168114502
age,"['s1', 'sex']","['sex', 's1', 'age']",3,2,0.6693002257336343,1.0,0.8346501128668171,148,-0.003758301213043635,5.729945836410617e-06,0.14049330168114502
age,"['s2', 'sex']","['sex', 's2', 'age']",3,0,0.0,0.3340857787810384,0.1670428893905192,147,0.06438674450579293,0.10347216806658789,0.08749346422303482
age,"['s2', 'sex']","['sex', 's2', 'age']",3,1,0.3340857787810384,0.6670428893905191,0.5005643340857788,147,0.15148288327968767,0.25148232300139434,0.08749346422303482
age,"['s2', 'sex']","['sex', 's2', 'age']",3,2,0.6670428893905191,1.0,0.8335214446952596,148,0.08575637831931718,0.047717298925413106,0.08749346422303482
age,"['s3', 'sex']","['s3', 'sex', 'age']",1,0,0.0,1.0,0.5,442,-0.018421133967357232,0.0,-0.018421133967357232
age,"['s4', 'sex']","['s4', 'sex', 'age']",1,0,0.0,1.0,0.5,442,0.11929583165551691,0.09440492344632431,0.11929583165551691
age,"['s5', 'sex']","['sex', 's5', 'age']",4,0,0.0,0.255079006772009,0.1275395033860045,109,0.09326589869003496,0.14001668416069415,0.09306162801383651
age,"['s5', 'sex']","['sex', 's5', 'age']",4,1,0.255079006772009,0.5011286681715575,0.3781038374717833,112,0.22458270280642204,0.30045529710755886,0.09306162801383651
age,"['s5', 'sex']","['sex', 's5', 'age']",4,2,0.5011286681715575,0.7494356659142212,0.6252821670428894,109,0.10971725563297113,0.06287671700973,0.09306162801383651
age,"['s5', 'sex']","['sex', 's5', 'age']",4,3,0.7494356659142212,1.0,0.8747178329571106,112,-0.04839113163483411,5.399891297577866e-06,0.09306162801383651
age,"['s6', 'sex']","['s6', 'sex', 'age']",1,0,0.0,1.0,0.5,442,0.17525272076080106,0.17925855944755578,0.17525272076080106
age,"['bmi', 'bp']","['bmi', 'bp', 'age']",1,0,0.0,1.0,0.5,442,0.06564410055258933,0.09091815280313015,0.06564410055258933
age,"['bmi', 's1']","['bmi', 's1', 'age']",3,0,0.0,0.3329571106094808,0.1664785553047404,146,0.23605008294714977,0.16764549037876106,0.09067960977734085
age,"['bmi', 's1']","['bmi', 's1', 'age']",3,1,0.3329571106094808,0.6693002257336343,0.5011286681715575,148,0.06491954132774493,0.06671307719101834,0.09067960977734085
age,"['bmi', 's1']","['bmi', 's1', 'age']",3,2,0.6693002257336343,1.0,0.8346501128668171,148,-0.039998162060888826,8.613894779573257e-07,0.09067960977734085
age,"['bmi', 's2']","['bmi', 's2', 'age']",3,0,0.0,0.3340857787810384,0.1670428893905192,147,0.2450957553567056,0.17783577970062317,0.09564119930598532
age,"['bmi', 's2']","['bmi', 's2', 'age']",3,1,0.3340857787810384,0.6670428893905191,0.5005643340857788,147,0.08230030793507444,0.10342078009392207,0.09564119930598532
age,"['bmi', 's2']","['bmi', 's2', 'age']",3,2,0.6670428893905191,1.0,0.8335214446952596,148,-0.06812227081432633,9.60247169624071e-07,0.09564119930598532
age,"['bmi', 's3']","['bmi', 's3', 'age']",1,0,0.0,1.0,0.5,442,0.12743997933895487,0.14642861492665443,0.12743997933895487
age,"['bmi', 's4']","['s4', 'bmi', 'age']",1,0,0.0,1.0,0.5,442,0.08769625498661077,0.08882833564950321,0.08769625498661077
age,"['bmi', 's5']","['bmi', 's5', 'age']",1,0,0.0,1.0,0.5,442,0.06057403207765954,0.09709558313989074,0.06057403207765954
age,"['bmi', 's6']","['s6', 'bmi', 'age']",1,0,0.0,1.0,0.5,442,0.14787753159193925,0.1593821758871818,0.14787753159193925
age,"['bp', 's1']","['bp', 's1', 'age']",2,0,0.0,0.4954853273137697,0.24774266365688485,215,0.24447198769873071,0.24323017381170753,0.19771976278203351
age,"['bp', 's1']","['bp', 's1', 'age']",2,1,0.4954853273137697,1.0,0.7477426636568849,227,0.15106553087902289,0.15060030614030184,0.19771976278203351
age,"['bp', 's2']","['bp', 's2', 'age']",3,0,0.0,0.3340857787810384,0.1670428893905192,147,0.23122087604846225,0.21785996994834655,0.20799942539855665
age,"['bp', 's2']","['bp', 's2', 'age']",3,1,0.3340857787810384,0.6670428893905191,0.5005643340857788,147,0.27374405934916607,0.2927048936582689,0.20799942539855665
age,"['bp', 's2']","['bp', 's2', 'age']",3,2,0.6670428893905191,1.0,0.8335214446952596,148,0.12871196101866322,0.12371555009383295,0.20799942539855665
age,"['bp', 's3']","['s3', 'bp', 'age']",1,0,0.0,1.0,0.5,442,-0.027993635478557537,0.0,-0.027993635478557537
age,"['bp', 's4']","['s4', 'bp', 'age']",1,0,0.0,1.0,0.5,442,0.08614959208838155,0.09576615832315717,0.08614959208838155
age,"['bp', 's5']","['s5', 'bp', 'age']",3,0,0.0,0.3239277652370203,0.16196388261851016,133,0.032951375410789366,0.03243164695857305,0.09654988498625229
age,"['bp', 's5']","['s5', 'bp', 'age']",3,1,0.3239277652370203,0.6772009029345373,0.5005643340857788,159,0.16305388607189678,0.1715896317023307,0.09654988498625229
age,"['bp', 's5']","['s5', 'bp', 'age']",3,2,0.6772009029345373,1.0,0.8386004514672687,150,0.07692997707450681,0.09148634034490472,0.09654988498625229
age,"['bp', 's6']","['s6', 'bp', 'age']",1,0,0.0,1.0,0.5,442,0.1235275097174308,0.13297301222651087,0.1235275097174308
age,"['s1', 's2']","['s2', 's1', 'age']",1,0,0.0,1.0,0.5,442,-0.0019701906077801644,0.0,-0.0019701906077801644
age,"['s1', 's3']","['s1', 's3', 'age']",3,0,0.0,0.3352144469525959,0.16760722347629795,142,0.0018262541080411691,0.0010686691353194609,0.18221976483978353
age,"['s1', 's3']","['s1', 's3', 'age']",3,1,0.3352144469525959,0.6715575620767494,0.5033860045146726,148,0.2346129924036221,0.2200922598453303,0.18221976483978353
age,"['s1', 's3']","['s1', 's3', 'age']",3,2,0.6715575620767494,1.0,0.8357787810383748,152,0.29929003927853925,0.25830329053847384,0.18221976483978353
age,"['s1', 's4']","['s4', 's1', 'age']",1,0,0.0,1.0,0.5,442,0.058998126544939154,0.0,0.058998126544939154
