child,parent_set,selected_order,conditional_model_type,selected_number_bins,simplified_validation_score,selected_validation_score,score_improvement_over_simplified,conditional_family,conditional_rotation,conditional_bin_counts
Raf,"['Mek', 'Plcg']","['Mek', 'Plcg', 'Raf']",quantile_binned,6,0.2920467711845753,0.30085472730779,0.0088079561232146,gumbel,0,"[142, 138, 143, 141, 146, 143]"
Raf,"['Mek', 'PIP2']","['Mek', 'PIP2', 'Raf']",simplified,1,0.2920467711845753,0.2920467711845753,9.88614313520153e-05,gumbel,0,[853]
Raf,"['Mek', 'PIP3']","['PIP3', 'Mek', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['Erk', 'Mek']","['Erk', 'Mek', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['Akt', 'Mek']","['Akt', 'Mek', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['Mek', 'PKA']","['Mek', 'PKA', 'Raf']",quantile_binned,5,0.2920467711845753,0.3006411439268106,0.0085943727422352,gumbel,0,"[169, 169, 172, 171, 172]"
Raf,"['Mek', 'PKC']","['Mek', 'PKC', 'Raf']",quantile_binned,6,0.2920467711845753,0.2988982143232879,0.0068514431387125,gumbel,0,"[141, 143, 142, 141, 142, 144]"
Raf,"['Mek', 'P38']","['Mek', 'P38', 'Raf']",simplified,1,0.2920467711845753,0.2920467711845753,0.0,gumbel,0,[853]
Raf,"['Jnk', 'Mek']","['Jnk', 'Mek', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['PIP2', 'Plcg']","['PIP2', 'Plcg', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['PIP3', 'Plcg']","['PIP3', 'Plcg', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['Erk', 'Plcg']","['Erk', 'Plcg', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['Akt', 'Plcg']","['Akt', 'Plcg', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['PKA', 'Plcg']","['PKA', 'Plcg', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['PKC', 'Plcg']","['PKC', 'Plcg', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['P38', 'Plcg']","['P38', 'Plcg', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['Jnk', 'Plcg']","['Jnk', 'Plcg', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['PIP2', 'PIP3']","['PIP2', 'PIP3', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['Erk', 'PIP2']","['Erk', 'PIP2', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['Akt', 'PIP2']","['Akt', 'PIP2', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['PIP2', 'PKA']","['PIP2', 'PKA', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['PIP2', 'PKC']","['PIP2', 'PKC', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['P38', 'PIP2']","['P38', 'PIP2', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['Jnk', 'PIP2']","['Jnk', 'PIP2', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['Erk', 'PIP3']","['Erk', 'PIP3', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['Akt', 'PIP3']","['Akt', 'PIP3', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['PIP3', 'PKA']","['PIP3', 'PKA', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['PIP3', 'PKC']","['PIP3', 'PKC', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['P38', 'PIP3']","['P38', 'PIP3', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['Jnk', 'PIP3']","['Jnk', 'PIP3', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['Akt', 'Erk']","['Akt', 'Erk', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['Erk', 'PKA']","['Erk', 'PKA', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['Erk', 'PKC']","['Erk', 'PKC', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['Erk', 'P38']","['Erk', 'P38', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['Erk', 'Jnk']","['Erk', 'Jnk', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['Akt', 'PKA']","['Akt', 'PKA', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['Akt', 'PKC']","['Akt', 'PKC', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['Akt', 'P38']","['Akt', 'P38', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['Akt', 'Jnk']","['Akt', 'Jnk', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['PKA', 'PKC']","['PKA', 'PKC', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['P38', 'PKA']","['P38', 'PKA', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['Jnk', 'PKA']","['Jnk', 'PKA', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['P38', 'PKC']","['P38', 'PKC', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['Jnk', 'PKC']","['Jnk', 'PKC', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Raf,"['Jnk', 'P38']","['Jnk', 'P38', 'Raf']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['Plcg', 'Raf']","['Plcg', 'Raf', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['PIP2', 'Raf']","['PIP2', 'Raf', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['PIP3', 'Raf']","['PIP3', 'Raf', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['Erk', 'Raf']","['Erk', 'Raf', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['Akt', 'Raf']","['Akt', 'Raf', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['PKA', 'Raf']","['PKA', 'Raf', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['PKC', 'Raf']","['PKC', 'Raf', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['P38', 'Raf']","['P38', 'Raf', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['Jnk', 'Raf']","['Jnk', 'Raf', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['PIP2', 'Plcg']","['PIP2', 'Plcg', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['PIP3', 'Plcg']","['PIP3', 'Plcg', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['Erk', 'Plcg']","['Erk', 'Plcg', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['Akt', 'Plcg']","['Akt', 'Plcg', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['PKA', 'Plcg']","['PKA', 'Plcg', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['PKC', 'Plcg']","['PKC', 'Plcg', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['P38', 'Plcg']","['P38', 'Plcg', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['Jnk', 'Plcg']","['Jnk', 'Plcg', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['PIP2', 'PIP3']","['PIP3', 'PIP2', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['Erk', 'PIP2']","['Erk', 'PIP2', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['Akt', 'PIP2']","['Akt', 'PIP2', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['PIP2', 'PKA']","['PIP2', 'PKA', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['PIP2', 'PKC']","['PIP2', 'PKC', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['P38', 'PIP2']","['P38', 'PIP2', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['Jnk', 'PIP2']","['Jnk', 'PIP2', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['Erk', 'PIP3']","['Erk', 'PIP3', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['Akt', 'PIP3']","['Akt', 'PIP3', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['PIP3', 'PKA']","['PIP3', 'PKA', 'Mek']",simplified,1,-0.0054447008311453,-0.0054447008311453,0.0023592882291295,clayton,180,[853]
Mek,"['PIP3', 'PKC']","['PIP3', 'PKC', 'Mek']",simplified,1,-0.0054447008311453,-0.0054447008311453,0.0,clayton,180,[853]
Mek,"['P38', 'PIP3']","['P38', 'PIP3', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['Jnk', 'PIP3']","['Jnk', 'PIP3', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['Akt', 'Erk']","['Akt', 'Erk', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['Erk', 'PKA']","['Erk', 'PKA', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['Erk', 'PKC']","['Erk', 'PKC', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['Erk', 'P38']","['Erk', 'P38', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['Erk', 'Jnk']","['Erk', 'Jnk', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['Akt', 'PKA']","['Akt', 'PKA', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['Akt', 'PKC']","['Akt', 'PKC', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['Akt', 'P38']","['Akt', 'P38', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['Akt', 'Jnk']","['Akt', 'Jnk', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['PKA', 'PKC']","['PKA', 'PKC', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['P38', 'PKA']","['P38', 'PKA', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['Jnk', 'PKA']","['Jnk', 'PKA', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
Mek,"['P38', 'PKC']","['P38', 'PKC', 'Mek']",simplified,1,0.0,0.0,0.0,indep,0,[853]
