column,dtype,n_rows,n_missing,min,q05,median,mean,q95,max,std
age,float64,442,0,-0.1072256316073538,-0.0854304009012372,0.0053830603742482,-7.284268713603969e-18,0.0707687524925978,0.1107266754538114,0.047619047619047596
sex,float64,442,0,-0.0446416365069891,-0.0446416365069891,-0.0446416365069891,2.348548705937831e-17,0.0506801187398186,0.0506801187398186,0.04761904761904763
bmi,float64,442,0,-0.0902752958985094,-0.0665634302731318,-0.0072837662096878,-2.087319758967206e-16,0.0854080721440608,0.170555225980644,0.04761904761904756
bp,float64,442,0,-0.1123988025440844,-0.07435529926095014,-0.0056704222927573,-4.5715065719859385e-17,0.0836715605305309,0.132043616741213,0.04761904761904757
s1,float64,442,0,-0.1267806699165132,-0.0731185084466695,-0.0043208655366134,-9.293722151839545e-18,0.08367131974534814,0.1539137131565154,0.047619047619047554
s2,float64,442,0,-0.1156130659793989,-0.0727117267142326,-0.003819065120535,4.42079756411827e-17,0.07946276829239171,0.198787989657294,0.04761904761904761
s3,float64,442,0,-0.1023070505174159,-0.0654906724765465,-0.0065844676111554,2.135044278125301e-18,0.07790911999263972,0.1811790603972785,0.04761904761904757
s4,float64,442,0,-0.0763945037500033,-0.0763945037500033,-0.0025922619981832,2.9137074854415874e-17,0.08076737006049739,0.1852344432601986,0.04761904761904758
s5,float64,442,0,-0.1260971208333046,-0.0721327533823274,-0.00194717108692205,9.143013143971877e-17,0.07904814856350709,0.1335972819219135,0.04761904761904758
s6,float64,442,0,-0.137767225690003,-0.0756356219674861,-0.0010776975004659,1.431735574742849e-17,0.0817644407962231,0.135611830689071,0.04761904761904761
