dataset_id,var1,var2,family,rotation,parameters,npars,model_tau,empirical_kendall_tau,empirical_spearman_rho,empirical_lower_tail_q05,empirical_upper_tail_q05,loglik,aic,bic,n_obs,selection_criterion,model_file,status,error
diabetes,age,sex,frank,0,[[1.2556919962528255]],1.0,0.13737865371372537,0.1465801846832718,0.1774630807271117,0.0,0.0,7.061230249540491,-12.122460499080981,-8.031150617003284,442,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\diabetes\paircopula_models\age__sex.json,ok,
diabetes,age,bmi,clayton,0,[[0.37713829235369195]],1.0,0.1586522305272671,0.13653470883401506,0.20055350591938131,0.3167420814479638,0.04524886877828054,20.16385136849646,-38.32770273699292,-34.23639285491522,442,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\diabetes\paircopula_models\age__bmi.json,ok,
diabetes,age,bp,frank,0,[[2.2439887173434276]],1.0,0.23775680001926713,0.2421109616643682,0.3508594029875696,0.09049773755656108,0.09049773755656108,28.484380912851734,-54.96876182570347,-50.87745194362577,442,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\diabetes\paircopula_models\age__bp.json,ok,
diabetes,age,s1,gumbel,180,[[1.2168758231220569]],1.0,0.17822346290489452,0.1822197648397835,0.26252353277229507,0.2262443438914027,0.09049773755656108,19.994087356736834,-37.98817471347367,-33.89686483139597,442,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\diabetes\paircopula_models\age__s1.json,ok,
diabetes,age,s2,gumbel,180,[[1.174765593643188]],1.0,0.14876635355075749,0.1536123206888619,0.2217113317337212,0.18099547511312217,0.09049773755656108,14.308595465887805,-26.61719093177561,-22.52588104969791,442,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\diabetes\paircopula_models\age__s2.json,ok,
diabetes,age,s3,indep,0,[],0.0,0.0,-0.0738463769237004,-0.10697297794555127,0.0,0.0,0.0,0.0,0.0,442,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\diabetes\paircopula_models\age__s3.json,ok,
diabetes,age,s4,clayton,0,[[0.3289311770764834]],1.0,0.14123696754722997,0.1608984177323645,0.22101689791094284,0.2262443438914027,0.09049773755656108,11.80111614319253,-21.60223228638506,-17.51092240430736,442,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\diabetes\paircopula_models\age__s4.json,ok,
diabetes,age,s5,gaussian,0,[[0.2785986830440441]],1.0,0.17973986143999346,0.18054397182006215,0.26517581992160405,0.18099547511312217,0.13574660633484162,17.02646160965573,-32.05292321931146,-27.96161333723376,442,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\diabetes\paircopula_models\age__s5.json,ok,
diabetes,age,s6,gaussian,0,[[0.312171797717298]],1.0,0.2021129105930025,0.20178376798077324,0.2962349162336326,0.18099547511312217,0.04524886877828054,21.60069316818087,-41.20138633636174,-37.11007645428405,442,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\diabetes\paircopula_models\age__s6.json,ok,
diabetes,sex,bmi,clayton,0,[[0.25894656572111935]],1.0,0.11463155864355576,0.08042361941225779,0.09807947297621517,0.0,0.0,4.168158176865287,-6.336316353730574,-2.245006471652876,442,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\diabetes\paircopula_models\sex__bmi.json,ok,
diabetes,sex,bp,frank,0,[[1.8630445187832971]],1.0,0.20021735346816816,0.2157331280704429,0.2615078895178269,0.0,0.0,15.434427360018132,-28.868854720036264,-24.777544837958565,442,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\diabetes\paircopula_models\sex__bp.json,ok,
diabetes,sex,s1,indep,0,[],0.0,0.0,0.022808841940540427,0.027789902398806354,0.0,0.0,0.0,0.0,0.0,442,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\diabetes\paircopula_models\sex__s1.json,ok,
diabetes,sex,s2,gaussian,0,[[0.20674657835362764]],1.0,0.13257512472321026,0.11020808854999678,0.13469473941011237,0.0,0.0,4.474481056064258,-6.948962112128516,-2.8576522300508183,442,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\diabetes\paircopula_models\sex__s2.json,ok,
diabetes,sex,s3,frank,0,[[-2.8569901804586335]],1.0,-0.29464036775778035,-0.32618764071397127,-0.3945835012631989,0.0,0.0,35.84760230574045,-69.6952046114809,-65.60389472940321,442,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\diabetes\paircopula_models\sex__s3.json,ok,
diabetes,sex,s4,gumbel,180,[[1.4210235350705118]],1.0,0.29628188744222345,0.2973345162590274,0.33752352515525963,0.0,0.0,27.42772673799668,-52.85545347599336,-48.76414359391566,442,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\diabetes\paircopula_models\sex__s4.json,ok,
diabetes,sex,s5,frank,0,[[1.2406567578991163]],1.0,0.13578284481468605,0.14317200901074778,0.17462471188379308,0.0,0.0,6.847818418410621,-11.695636836821242,-7.604326954743544,442,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\diabetes\paircopula_models\sex__s5.json,ok,
diabetes,sex,s6,gaussian,0,[[0.2945960082985704]],1.0,0.19037015387581316,0.16819860640306775,0.2032765191414833,0.0,0.0,9.920895106855166,-17.841790213710333,-13.750480331632634,442,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\diabetes\paircopula_models\sex__s6.json,ok,
diabetes,bmi,bp,gaussian,0,[[0.41846798275877134]],1.0,0.27486558403227984,0.28176980961784676,0.39798548573582704,0.18099547511312217,0.2262443438914027,40.91627473846384,-79.83254947692768,-75.74123959484999,442,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\diabetes\paircopula_models\bmi__bp.json,ok,
diabetes,bmi,s1,clayton,0,[[0.42686798046063057]],1.0,0.17589254293907206,0.19417063428037198,0.28782865155181464,0.18099547511312217,0.0,22.32402725004036,-42.64805450008072,-38.55674461800302,442,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\diabetes\paircopula_models\bmi__s1.json,ok,
diabetes,bmi,s2,clayton,0,[[0.43638911895812316]],1.0,0.17911306349321446,0.19858277370089758,0.2954938773530024,0.18099547511312217,0.0,23.5509227709154,-45.1018455418308,-41.0105356597531,442,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\diabetes\paircopula_models\bmi__s2.json,ok,
