dataset_id,var1,var2,family,rotation,parameters,npars,model_tau,empirical_kendall_tau,empirical_spearman_rho,empirical_lower_tail_q05,empirical_upper_tail_q05,loglik,aic,bic,n_obs,selection_criterion,model_file,status,error
sachs,Raf,Mek,gumbel,0,[[1.938009078120316]],1.0,0.4840065450209838,0.49973181800962274,0.680548088737161,0.39859320046893315,0.5158264947245017,295.57335350033964,-589.1467070006793,-584.3979474531876,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Raf__Mek.json,ok,
sachs,Raf,Plcg,indep,0,[],0.0,0.0,0.009250389640321084,0.013247779316672096,0.023446658851113713,0.1406799531066823,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Raf__Plcg.json,ok,
sachs,Raf,PIP2,indep,0,[],0.0,0.0,-0.006715915973628922,-0.009735857679923398,0.023446658851113713,0.21101992966002342,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Raf__PIP2.json,ok,
sachs,Raf,PIP3,indep,0,[],0.0,0.0,0.004964534739733669,0.008015279551731189,0.046893317702227426,0.1875732708089097,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Raf__PIP3.json,ok,
sachs,Raf,Erk,indep,0,[],0.0,0.0,0.004166396535905104,0.005828929230657499,0.07033997655334115,0.023446658851113713,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Raf__Erk.json,ok,
sachs,Raf,Akt,indep,0,[],0.0,0.0,-0.00573571220865889,-0.00859512580334371,0.046893317702227426,0.0,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Raf__Akt.json,ok,
sachs,Raf,PKA,indep,0,[],0.0,0.0,0.007495431407582779,0.010298226963663842,0.046893317702227426,0.07033997655334115,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Raf__PKA.json,ok,
sachs,Raf,PKC,indep,0,[],0.0,0.0,-0.02850370382706141,-0.04394007572591753,0.11723329425556858,0.023446658851113713,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Raf__PKC.json,ok,
sachs,Raf,P38,indep,0,[],0.0,0.0,-0.03589935270166325,-0.05288253113371637,0.07033997655334115,0.023446658851113713,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Raf__P38.json,ok,
sachs,Raf,Jnk,indep,0,[],0.0,0.0,0.02220369242575229,0.03231765746465059,0.046893317702227426,0.07033997655334115,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Raf__Jnk.json,ok,
sachs,Mek,Plcg,indep,0,[],0.0,0.0,0.0012252072104841309,0.0028073004904139954,0.023446658851113713,0.11723329425556858,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Mek__Plcg.json,ok,
sachs,Mek,PIP2,indep,0,[],0.0,0.0,0.004091367301126117,0.0068934570246541385,0.0,0.1406799531066823,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Mek__PIP2.json,ok,
sachs,Mek,PIP3,indep,0,[],0.0,0.0,0.020960446483979833,0.03231437780283036,0.046893317702227426,0.1875732708089097,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Mek__PIP3.json,ok,
sachs,Mek,Erk,indep,0,[],0.0,0.0,0.023261446355700634,0.034515370827314804,0.07033997655334115,0.023446658851113713,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Mek__Erk.json,ok,
sachs,Mek,Akt,indep,0,[],0.0,0.0,0.01146490016236693,0.016739830156534602,0.023446658851113713,0.023446658851113713,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Mek__Akt.json,ok,
sachs,Mek,PKA,indep,0,[],0.0,0.0,-0.0036371783522500113,-0.005683400015308388,0.023446658851113713,0.046893317702227426,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Mek__PKA.json,ok,
sachs,Mek,PKC,indep,0,[],0.0,0.0,-0.029181072663612296,-0.0441250089887281,0.07033997655334115,0.07033997655334115,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Mek__PKC.json,ok,
sachs,Mek,P38,indep,0,[],0.0,0.0,-0.024184870561678767,-0.03587278588288509,0.023446658851113713,0.07033997655334115,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Mek__P38.json,ok,
sachs,Mek,Jnk,indep,0,[],0.0,0.0,-0.006609309318223452,-0.009538501102377202,0.023446658851113713,0.07033997655334115,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Mek__Jnk.json,ok,
sachs,Plcg,PIP2,student,0,"[[0.08995456017798181], [4.675554320921508]]",2.0,0.057344366416708786,0.06621383081521051,0.08962729204527294,0.16412661195779601,0.11723329425556858,19.321537055419284,-34.64307411083857,-25.14555501585521,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Plcg__PIP2.json,ok,
sachs,Plcg,PIP3,clayton,180,[[0.2271456267193718]],1.0,0.1019895708633843,0.04883711199299596,0.07714556690490501,0.11723329425556858,0.1875732708089097,17.320144072747578,-32.640288145495155,-27.891528598003475,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Plcg__PIP3.json,ok,
sachs,Plcg,Erk,indep,0,[],0.0,0.0,0.04207277981086976,0.06144893599134851,0.07033997655334115,0.046893317702227426,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Plcg__Erk.json,ok,
sachs,Plcg,Akt,indep,0,[],0.0,0.0,0.04922338580367831,0.06906059189101782,0.046893317702227426,0.023446658851113713,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Plcg__Akt.json,ok,
sachs,Plcg,PKA,indep,0,[],0.0,0.0,-0.030405139233948653,-0.04591115278259267,0.023446658851113713,0.046893317702227426,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Plcg__PKA.json,ok,
sachs,Plcg,PKC,indep,0,[],0.0,0.0,-0.008613294859346516,-0.013634677334144606,0.023446658851113713,0.09378663540445485,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Plcg__PKC.json,ok,
sachs,Plcg,P38,indep,0,[],0.0,0.0,-0.0032026152434645075,-0.00400916269833029,0.046893317702227426,0.07033997655334115,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Plcg__P38.json,ok,
sachs,Plcg,Jnk,indep,0,[],0.0,0.0,0.023915267213063203,0.03551200936534105,0.046893317702227426,0.07033997655334115,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Plcg__Jnk.json,ok,
sachs,PIP2,PIP3,gumbel,0,[[1.3133886718065644]],1.0,0.23861076201875464,0.2517419833099206,0.36529363022781774,0.07033997655334115,0.3516998827667057,70.60805378425627,-139.21610756851254,-134.46734802102085,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\PIP2__PIP3.json,ok,
sachs,PIP2,Erk,indep,0,[],0.0,0.0,0.025435884207908793,0.037824737983691126,0.046893317702227426,0.0,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\PIP2__Erk.json,ok,
sachs,PIP2,Akt,indep,0,[],0.0,0.0,0.006616804524549699,0.00811273538145958,0.0,0.0,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\PIP2__Akt.json,ok,
sachs,PIP2,PKA,indep,0,[],0.0,0.0,0.0092755580595798,0.014874939134865813,0.046893317702227426,0.023446658851113713,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\PIP2__PKA.json,ok,
sachs,PIP2,PKC,indep,0,[],0.0,0.0,-0.013135778323949169,-0.01888808555224687,0.046893317702227426,0.046893317702227426,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\PIP2__PKC.json,ok,
sachs,PIP2,P38,indep,0,[],0.0,0.0,-0.0015746304890369351,-0.0010510185290038374,0.046893317702227426,0.07033997655334115,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\PIP2__P38.json,ok,
sachs,PIP2,Jnk,indep,0,[],0.0,0.0,0.002999473006498038,0.004437700398730706,0.09378663540445485,0.07033997655334115,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\PIP2__Jnk.json,ok,
