column,dtype,n_rows,n_missing,min,q05,median,mean,q95,max,std
Raf,float64,853,0,1.61,14.5,52.3,59.31447831184056,115.19999999999993,552.0,41.84454162682085
Mek,float64,853,0,1.0,10.66,24.4,30.02933177022274,60.639999999999986,389.0,27.44877446487124
Plcg,float64,853,0,1.0,4.096,17.0,19.494841735052752,42.35999999999999,167.0,14.672888163888977
PIP2,float64,853,0,1.11,11.4,48.3,81.55392731535756,277.9999999999999,843.0,93.5141857968022
PIP3,float64,853,0,1.0,4.53,23.9,30.458487690504104,75.0,764.0,34.20142448144523
Erk,float64,853,0,1.0,3.722,14.9,22.183481828839387,49.6,2571.0,89.89183619890105
Akt,float64,853,0,1.7,11.860000000000001,29.2,41.98166471277843,97.3,3555.0,126.66029309809353
PKA,float64,853,0,1.95,192.2,437.0,567.0239742086752,1407.0,4491.0,427.7999005886913
PKC,float64,853,0,1.0,1.848,13.6,15.018968347010551,33.519999999999996,106.0,11.5919444311559
P38,float64,853,0,1.53,12.1,30.2,34.024349355216884,71.7,170.0,19.42190637246299
Jnk,float64,853,0,1.0,4.7940000000000005,20.0,38.4583939038687,118.39999999999998,343.0,43.09323738242671
