column,dtype,n_rows,n_missing,min,q05,median,mean,q95,max,std
Raf,float64,853,0,2.737353629976581,14.539812646370024,52.3,58.82720367019832,114.96252927400464,426.29508196721986,38.31759018954874
Mek,float64,853,0,1.5287587822014053,10.80360655737705,24.4,29.65641738347368,60.155081967213135,325.1498829039847,24.56990549867049
Plcg,float64,853,0,1.0,4.160580796252928,17.0,19.354072003755856,42.21611241217799,163.00936768149904,13.796424121116603
PIP2,float64,853,0,3.953325526932084,11.4,48.3,80.80748783052515,276.2014051522249,552.6814988290554,89.93109662902094
PIP3,float64,853,0,1.0,4.561850117096019,23.9,29.648473276574514,75.0,240.2295081967494,23.22663973934645
Erk,float64,853,0,1.2194847775175643,3.7687072599531617,14.9,19.22760723277275,48.883372365339575,321.28103044508555,21.237353338895552
Akt,float64,853,0,3.1565807962529275,11.949789227166278,29.2,37.92435064560696,95.94637002341919,627.8711943795481,39.42012388597037
PKA,float64,853,0,5.56152224824356,193.99578454332553,437.0,563.3575482317541,1397.046838407494,3222.976580796321,406.58769512374903
PKC,float64,853,0,1.0,1.8695550351288057,13.6,14.936640977840987,33.25063231850118,93.92833723653462,11.180107349829285
P38,float64,853,0,2.6872833723653393,12.1,30.2,33.91595720847484,71.42131147540984,153.03981264637093,18.871653444015777
Jnk,float64,853,0,1.0,4.847901639344262,20.0,38.17478366750771,117.0903981264638,292.1194379391128,41.88595658642519
