var1,var2,family,empirical_kendall_tau,abs_empirical_kendall_tau,empirical_spearman_rho,empirical_lower_tail_q05,empirical_upper_tail_q05,aic,bic
Erk,Akt,gumbel,0.6314174590847679,0.6314174590847679,0.8081989982649379,0.2579132473622508,0.7502930832356388,-1077.4843789299698,-1072.735619382478
PKC,P38,student,0.5483394125466923,0.5483394125466923,0.689547341149998,0.164126611957796,0.5861664712778428,-735.2293455764186,-725.7318264814353
Raf,Mek,gumbel,0.4997318180096227,0.4997318180096227,0.680548088737161,0.3985932004689331,0.5158264947245017,-589.1467070006793,-584.3979474531876
PIP2,PIP3,gumbel,0.2517419833099206,0.2517419833099206,0.3652936302278177,0.0703399765533411,0.3516998827667057,-139.21610756851254,-134.46734802102085
Akt,PKA,clayton,0.181883791103203,0.181883791103203,0.2797882827101428,0.1406799531066823,0.3985932004689331,-178.60777922770973,-173.85901968021804
PKC,Jnk,frank,-0.1012851170189287,0.1012851170189287,-0.2004654478764407,0.2110199296600234,0.0703399765533411,-34.070472780606565,-29.321713233114885
Erk,PKA,clayton,0.0730864599516714,0.0730864599516714,0.1264516538698585,0.2813599062133646,0.4220398593200468,-85.8406204005984,-81.09186085310672
Plcg,PIP2,student,0.0662138308152105,0.0662138308152105,0.0896272920452729,0.164126611957796,0.1172332942555685,-34.64307411083857,-25.14555501585521
Plcg,Akt,indep,0.0492233858036783,0.0492233858036783,0.0690605918910178,0.0468933177022274,0.0234466588511137,0.0,0.0
Plcg,PIP3,clayton,0.0488371119929959,0.0488371119929959,0.077145566904905,0.1172332942555685,0.1875732708089097,-32.640288145495155,-27.891528598003475
Plcg,Erk,indep,0.0420727798108697,0.0420727798108697,0.0614489359913485,0.0703399765533411,0.0468933177022274,0.0,0.0
Raf,P38,indep,-0.0358993527016632,0.0358993527016632,-0.0528825311337163,0.0703399765533411,0.0234466588511137,0.0,0.0
Plcg,PKA,indep,-0.0304051392339486,0.0304051392339486,-0.0459111527825926,0.0234466588511137,0.0468933177022274,0.0,0.0
Mek,PKC,indep,-0.0291810726636122,0.0291810726636122,-0.0441250089887281,0.0703399765533411,0.0703399765533411,0.0,0.0
Raf,PKC,indep,-0.0285037038270614,0.0285037038270614,-0.0439400757259175,0.1172332942555685,0.0234466588511137,0.0,0.0
PIP2,Erk,indep,0.0254358842079087,0.0254358842079087,0.0378247379836911,0.0468933177022274,0.0,0.0,0.0
Mek,P38,indep,-0.0241848705616787,0.0241848705616787,-0.035872785882885,0.0234466588511137,0.0703399765533411,0.0,0.0
Plcg,Jnk,indep,0.0239152672130632,0.0239152672130632,0.035512009365341,0.0468933177022274,0.0703399765533411,0.0,0.0
Erk,P38,indep,-0.02340741797529,0.02340741797529,-0.0341763152851639,0.0703399765533411,0.0468933177022274,0.0,0.0
Mek,Erk,indep,0.0232614463557006,0.0232614463557006,0.0345153708273148,0.0703399765533411,0.0234466588511137,0.0,0.0
Raf,Jnk,indep,0.0222036924257522,0.0222036924257522,0.0323176574646505,0.0468933177022274,0.0703399765533411,0.0,0.0
Mek,PIP3,indep,0.0209604464839798,0.0209604464839798,0.0323143778028303,0.0468933177022274,0.1875732708089097,0.0,0.0
PKA,P38,indep,0.0186805771655711,0.0186805771655711,0.0267809280073165,0.0468933177022274,0.0703399765533411,0.0,0.0
PIP3,PKA,indep,0.0176748853426446,0.0176748853426446,0.0252073976076865,0.0937866354044548,0.0468933177022274,0.0,0.0
PKA,PKC,indep,0.0176175587526537,0.0176175587526537,0.0255488454800763,0.0703399765533411,0.0937866354044548,0.0,0.0
PIP3,Erk,indep,-0.0153316801671057,0.0153316801671057,-0.0226899948919886,0.0468933177022274,0.0234466588511137,0.0,0.0
P38,Jnk,indep,-0.0149673228629845,0.0149673228629845,-0.061048506356066,0.0937866354044548,0.0937866354044548,0.0,0.0
Akt,PKC,indep,0.0142538834030038,0.0142538834030038,0.0211146220847236,0.0468933177022274,0.0468933177022274,0.0,0.0
Erk,Jnk,indep,-0.0141021028939173,0.0141021028939173,-0.0212711542643346,0.0234466588511137,0.0,0.0,0.0
PIP2,PKC,indep,-0.0131357783239491,0.0131357783239491,-0.0188880855522468,0.0468933177022274,0.0468933177022274,0.0,0.0
PIP3,P38,indep,-0.0131303899706591,0.0131303899706591,-0.0201366277781241,0.1172332942555685,0.0703399765533411,0.0,0.0
Akt,P38,indep,-0.0115531338338523,0.0115531338338523,-0.0174281717539778,0.1172332942555685,0.0234466588511137,0.0,0.0
Mek,Akt,indep,0.0114649001623669,0.0114649001623669,0.0167398301565346,0.0234466588511137,0.0234466588511137,0.0,0.0
